owner,totalIn,totalSupply,totalOut,,balanceOf
owner,allBurn,balanceOf,allMint,,totalSupply
totalIn,totalOut,allMint,owner,allBurn,,balanceOf,totalSupply
owner,balanceOf,totalSupply,
